Board_Action_Indicator,Business_Name,County,County_Description,Email,Expire_Date,License_Active_Status_Description,License_Number,License_Status_Description,Mailing_Address_Area_Code,Mailing_Address_City,Mailing_Address_Line1,Mailing_Address_Phone_Extension,Mailing_Address_Phone_Number,Mailing_Address_State,Mailing_Address_ZIPcode,Mailing_Address_line2,Original_Date,Practice_Location_Address_City,Practice_Location_Address_Line1,Practice_Location_Address_State,Practice_Location_Address_ZIPcode,Practice_Location_Address_line2,Prescribe_Ind,Profession_Name,Rank_Code,Status_Effective_Date,address,address_administrative_area_level_1,address_administrative_area_level_2,address_country,address_formatted_address,address_lat,address_locality,address_lon,address_msg,address_neighborhood,address_postal_code,address_postal_code_suffix,address_route,address_street_number,address_subpremise,id,norm_id,index,lic_id,labels,correct_labels
N,Head Hunters Salon & Spa L.L.C.,18,CHARLOTTE,headhunters@mail.com,8/31/19,,38198,CLEAR,941,ENGLEWOOD,3217 S Access Rd.,,474-3200,FL,34224,,6/20/18,ENGLEWOOD,3217 S Access Rd.,FL,34224,,N,Massage Establishment,MM,6/20/18,"3217 S Access Rd., ENGLEWOOD, FL 34224",Florida,Charlotte County,United States,"3217 S Access Rd, Englewood, FL 34224, USA",26.93384,Englewood,-82.300436,OK,Englewood East,34224,,South Access Road,3217,,26.93384:-82.30044,26.93384:-82.30044#,massage,39281,0,0
N,JOLU ENTERPRISES LLC,58,ORANGE,magnoliassalonandspa@gmail.com,8/31/19,,37856,CLEAR,407,WINTER PARK,917 W FAIRBANKS AV,,599-2025,FL,32789,,3/26/18,WINTER PARK,917 W FAIRBANKS AV,FL,32789,,N,Massage Establishment,MM,3/26/18,"917 W FAIRBANKS AV, WINTER PARK, FL 32789",Florida,Orange County,United States,"917 W Fairbanks Ave, Winter Park, FL 32789, USA",28.5932483,Winter Park,-81.3612743,OK,,32789,,West Fairbanks Avenue,917,,28.59325:-81.36127,28.59325:-81.36127#,massage,39103,0,0
N,Chick City Skincare LLC,67,SANTA ROSA,ericrsmith444@gmail.com,8/31/19,,37535,CLEAR,850,NAVARRE,6633 Hartland Street,,542-9594,FL,32566,,1/9/18,NAVARRE,1752 Sea Lark Lane,FL,32566,,N,Massage Establishment,MM,1/9/18,"1752 Sea Lark Lane, NAVARRE, FL 32566",Florida,Santa Rosa County,United States,"1752 Sea Lark Ln, Navarre, FL 32566, USA",30.4005956,Navarre,-86.9336541,OK,,32566,7406,Sea Lark Lane,1752,,30.40060:-86.93365,30.40060:-86.93365#,massage,39167,0,0
N,Krystal Haworth LLC,74,VOLUSIA,krystalhaworthllc@gmail.com,8/31/19,,37643,CLEAR,386,DELAND,216 Howry Ave,,898-2107,FL,32720,,2/2/18,DELAND,216 Howry Ave,FL,32720,,N,Massage Establishment,MM,2/2/18,"216 Howry Ave, DELAND, FL 32720",Florida,Volusia County,United States,"216 W Howry Ave, DeLand, FL 32720, USA",29.0258513,DeLand,-81.3060501,OK,,32720,5424,West Howry Avenue,216,,29.02585:-81.30605,29.02585:-81.30605#,massage,39275,0,0
N,HANLEY DAY SPA LLC,62,PINELLAS,aaisinc888@gmail.com,8/31/19,,37591,CLEAR,813,PINELLAS PARK,5558 1/2 PARK BLVD N,,609-4167,FL,33781,,1/22/18,TAMPA,6702 HANLEY RD,FL,33634,,N,Massage Establishment,MM,1/22/18,"6702 HANLEY RD, TAMPA, FL 33634",Florida,Hillsborough County,United States,"6702 Hanley Rd, Tampa, FL 33634, USA",28.0090885,Tampa,-82.5634279,OK,Town N County Park,33634,4757,Hanley Road,6702,,28.00909:-82.56343,28.00909:-82.56343#,massage,39164,0,0
N,"MMS GLOBAL HOLDINGS, INC",69,SEMINOLE,lisa.mmspas@gmail.com,8/31/19,,34410,CLEAR,407,OVIEDO,5515 VISTA VIEW WAY,,948-9061,FL,32765,,11/6/15,OVIEDO,5515 VISTA VIEW WAY,FL,32765,,N,Massage Establishment,MM,12/29/17,"5515 VISTA VIEW WAY, OVIEDO, FL 32765",Florida,Seminole County,United States,"5515 Vista View Way, Oviedo, FL 32765, USA",28.6240092,Oviedo,-81.2453652,OK,,32765,,Vista View Way,5515,,28.62401:-81.24537,28.62401:-81.24537#,massage,34931,0,0
N,Unwind Massage,59,OSCEOLA,beckybaird80@gmail.com,8/31/19,,37495,CLEAR,321,SAINT CLOUD,1721 Michigan Avenue,,443-0134,FL,34769,,12/28/17,SAINT CLOUD,1016 New York Avenue,FL,34769,,N,Massage Establishment,MM,12/28/17,"1016 New York Avenue, SAINT CLOUD, FL 34769",Florida,Osceola County,United States,"1016 New York Ave, St Cloud, FL 34769, USA",28.248523,St. Cloud,-81.283872,OK,,34769,3778,New York Avenue,1016,,28.24852:-81.28387,28.24852:-81.28387#,massage,39125,0,0
N,Tanya Solt,46,LEE,bodyworkbytanya239@gmail.com,8/31/19,,37853,CLEAR,239,FORT MYERS,2319 Davis Blvd,,682-2779,FL,33905,,3/26/18,FORT MYERS,"13102 Palm beach blvd, Suite D",FL,33905,,N,Massage Establishment,MM,3/26/18,"13102 Palm beach blvd, Suite D, FORT MYERS, FL 33905",Florida,Lee County,United States,"13102 Palm Beach Blvd Suite D, Fort Myers, FL 33905, USA",26.7059079,Fort Myers,-81.7424224,OK,,33905,2000,Palm Beach Boulevard,13102,D,26.70591:-81.74242,26.70591:-81.74242#D,massage,39245,0,0
N,MedCare & Aesthetics,16,BROWARD,ichajon75@gmail.com,8/31/19,,37819,CLEAR,954,COCONUT CREEK,4243 WEST HILLSBORO BLVD,,638-1515,FL,33073,,3/19/18,COCONUT CREEK,4243 WEST HILLSBORO BLVD,FL,33073,,N,Massage Establishment,MM,3/19/18,"4243 WEST HILLSBORO BLVD, COCONUT CREEK, FL 33073",Florida,Broward County,United States,"4243 W Hillsboro Blvd, Coconut Creek, FL 33073, USA",26.3188115,Coconut Creek,-80.1837192,OK,,33073,,West Hillsboro Boulevard,4243,,26.31881:-80.18372,26.31881:-80.18372#,massage,39241,0,0
N,BE WELL LLC,21,COLLIER,jo@bwditi.com,8/31/19,,34810,CLEAR,239,NAPLES,425 39TH AVENUE NW,,250-9312,FL,34120,,1/29/16,NAPLES,1032 GOODLETTE ROAD,FL,34102,,N,Massage Establishment,MM,1/29/16,"1032 GOODLETTE ROAD, NAPLES, FL 34102",Florida,Collier County,United States,"1032 Goodlette-Frank Rd, Naples, FL 34102, USA",26.1611384,Naples,-81.790412,OK,Lake Park,34102,,Goodlette-Frank Road,1032,,26.16114:-81.79041,26.16114:-81.79041#,massage,35231,0,0
N,Spa One Day Spa Inc.,18,CHARLOTTE,thejoebruno@yahoo.com,8/31/21,,37641,CLEAR,941,PUNTA GORDA,115 Taylor St,,505-6111,FL,33950,,2/2/18,PUNTA GORDA,115 Taylor St,FL,33950,,N,Massage Establishment,MM,2/2/18,"115 Taylor St, PUNTA GORDA, FL 33950",Florida,Charlotte County,United States,"115 Taylor St, Punta Gorda, FL 33950, USA",26.9355935,Punta Gorda,-82.0517737,OK,,33950,3654,Taylor Street,115,,26.93559:-82.05177,26.93559:-82.05177#,massage,39242,0,0
N,"Cara Bella, LLC",62,PINELLAS,marleallen@tampabay.rr.com,8/31/19,,37545,CLEAR,727,CLEARWTER,2547 Countryside Blvd,,599-8447,FL,33761,Suite #3,1/10/18,CLEARWATER,"2547 Countryside Blvd, Suite # 3",FL,33761,,N,Massage Establishment,MM,1/10/18,"2547 Countryside Blvd, Suite # 3, CLEARWATER, FL 33761",Florida,Pinellas County,United States,"2547 Countryside Blvd #3, Clearwater, FL 33761, USA",28.0126322,Clearwater,-82.7320523,OK,,33761,,Countryside Boulevard,2547,3,28.01263:-82.73205,28.01263:-82.73205#3,massage,39104,0,0
N,ABOVE AND BEYOND SALON-DAY SPA,37,HERNANDO,selefam@yahoo.com,8/31/21,,37498,CLEAR,352,BROOKSVILLE,18734 CORTEZ BLVD,,593-4923,FL,34601,,12/28/17,BROOKSVILLE,18734 CORTEZ BLVD,FL,34601,,N,Massage Establishment,MM,12/28/17,"18734 CORTEZ BLVD, BROOKSVILLE, FL 34601",Florida,Hernando County,United States,"18734 Cortez Blvd, Brooksville, FL 34601, USA",28.5509228,Brooksville,-82.421476,OK,,34601,,Cortez Boulevard,18734,,28.55092:-82.42148,28.55092:-82.42148#,massage,39124,0,0
N,CYY MASSAGE INC,26,DUVAL,,8/31/19,,37557,CLEAR,718,JACKSONVILLE,1628 SAN MARCO BLVD,,886-8850,FL,32207,8A-8B,1/12/18,JACKSONVILLE,1628 SAN MARCO BLVD,FL,32207,,N,Massage Establishment,MM,1/12/18,"1628 SAN MARCO BLVD, JACKSONVILLE, FL 32207",Florida,Duval County,United States,"1628 San Marco Blvd, Jacksonville, FL 32207, USA",30.3082516,Jacksonville,-81.6609096,OK,Urban Core,32207,,San Marco Boulevard,1628,,30.30825:-81.66091,30.30825:-81.66091#,massage,39177,0,0
N,Justin Shane Barnett LLC,41,INDIAN RIVER,justinshanebarnett@gmail.com,8/31/19,,37815,CLEAR,772,VERO BEACH,3223 Ocean Dr,,563-3333,FL,32963,,3/16/18,VERO BEACH,3223 Ocean Dr,FL,32963,,N,Massage Establishment,MM,3/16/18,"3223 Ocean Dr, VERO BEACH, FL 32963",Florida,Indian River County,United States,"3223 Ocean Dr, Vero Beach, FL 32963, USA",27.6519998,Vero Beach,-80.3561976,OK,,32963,1957,Ocean Drive,3223,,27.65200:-80.35620,27.65200:-80.35620#,massage,39234,0,0
N,Life Imaging Hernando Massage Inc.,37,HERNANDO,352massage@gmail.com,8/31/19,,37529,CLEAR,352,SPRING HILL,483 Mariner Blvd.,,597-7433,FL,34609,,1/5/18,SPRING HILL,483 Mariner Blvd.,FL,34609,,N,Massage Establishment,MM,1/5/18,"483 Mariner Blvd., SPRING HILL, FL 34609",Florida,Hernando County,United States,"483 Mariner Blvd, Spring Hill, FL 34609, USA",28.442521,Spring Hill,-82.5438908,OK,,34609,5657,Mariner Boulevard,483,,28.44252:-82.54389,28.44252:-82.54389#,massage,39159,0,0
N,"COX INVESTMENTS, LLC",68,SARASOTA,newyorkhairbeauty@gmail.com,8/31/19,,34169,CLEAR,941,VENICE,2117 TAMIAMI TRAIL S,,493-8395,FL,34293,,9/18/15,VENICE,2117 S. Tamiami trail,FL,34293,,N,Massage Establishment,MM,12/15/17,"2117 S. Tamiami trail, VENICE, FL 34293",Florida,Sarasota County,United States,"2117 S Tamiami Trail, Venice, FL 34293, USA",27.0557126,Venice,-82.4101993,OK,,34293,,South Tamiami Trail,2117,,27.05571:-82.41020,27.05571:-82.41020#,massage,34025,0,0
N,Goodman Family and Sports Chiropractic,62,PINELLAS,painfree@good2gochiro.com,8/31/19,,37571,CLEAR,727,PALM HARBOR,36402 US Highway 19 N,,722-7700,FL,34684,,1/16/18,PALM HARBOR,36402 US Highway 19 N,FL,34684,,N,Massage Establishment,MM,1/16/18,"36402 US Highway 19 N, PALM HARBOR, FL 34684",Florida,Pinellas County,United States,"36402 US Hwy 19 N, Palm Harbor, FL 34684, USA",28.1033295,Palm Harbor,-82.7404879,OK,,34684,1330,US Highway 19 North,36402,,28.10333:-82.74049,28.10333:-82.74049#,massage,38880,0,0
N,Carlie's Cutting Edge Salon,68,SARASOTA,carliescuttingedgesalon@gmail.com,8/31/19,,37598,CLEAR,941,NORTH PORT,3505 Bobcat VIllage Center Rd.,,204-9466,FL,34288,,1/24/18,NORTH PORT,3505 Bobcat VIllage Center Rd.,FL,34288,,N,Massage Establishment,MM,1/24/18,"3505 Bobcat VIllage Center Rd., NORTH PORT, FL 34288",Florida,Sarasota County,United States,"3505 Bobcat Village Center Rd, North Port, FL 34288, USA",27.0512699,North Port,-82.1589975,OK,,34288,,Bobcat Village Center Road,3505,,27.05127:-82.15900,27.05127:-82.15900#,massage,39120,0,0
N,"Boca Raton AcuPractic, PA",60,PALM BEACH,drjames1014quantum@comcast.net,8/31/19,,37833,CLEAR,561,BOYNTON BEACH,1014 Gateway Blvd. Ste. 104,,336-2980,FL,33426,,3/21/18,BOYNTON BEACH,1014 Gateway Blvd. Ste. 104,FL,33436,,N,Massage Establishment,MM,3/21/18,"1014 Gateway Blvd. Ste. 104, BOYNTON BEACH, FL 33436",Florida,Palm Beach County,United States,"1014 Gateway Blvd #104, Boynton Beach, FL 33426, USA",26.5496536,Boynton Beach,-80.0744895,OK,,33426,,Gateway Boulevard,1014,104,26.54965:-80.07449,26.54965:-80.07449#104,massage,39351,0,0
N,MEDI NAILS AND SPA,65,ST.JOHNS,thomlebeau@hotmail.com,8/31/19,,33212,CLEAR,904,SAINT AUGUSTINE,1 ST. JOHNS MEDICAL PARK DRIVE,,824-0869,FL,32086,,12/24/14,SAINT AUGUSTINE,1 ST. JOHNS MEDICAL PARK DRIVE,FL,32086,,N,Massage Establishment,MM,2/1/18,"1 ST. JOHNS MEDICAL PARK DRIVE, SAINT AUGUSTINE, FL 32086",Florida,St. Johns County,United States,"1 St Johns Medical Park Dr, St. Augustine, FL 32086, USA",29.8375884,St. Augustine,-81.3230514,OK,,32086,5300,Saint Johns Medical Park Drive,1,,29.83759:-81.32305,29.83759:-81.32305#,massage,33471,0,0
N,Wake Up To Makeup LLC,21,COLLIER,wakeuptomakeupnaples@gmail.com,8/31/19,,37670,CLEAR,239,NAPLES,2359 Vanderbuilt Beach Rd,2623,249-2623,FL,34109,410,2/8/18,NAPLES,2359 Vanderbilt Beach Rd,FL,34109,410,N,Massage Establishment,MM,2/8/18,"2359 Vanderbilt Beach Rd, NAPLES, FL 34109",Florida,Collier County,United States,"2359 Vanderbilt Beach Rd, Naples, FL 34109, USA",26.2469695,Naples,-81.7707739,OK,,34109,,Vanderbilt Beach Road,2359,,26.24697:-81.77077,26.24697:-81.77077#,massage,39301,0,0
N,HAPPY MASSAGE OF BRANDON INC,39,HILLSBOROUGH,chunlyu62@gmail.com,8/31/21,,37700,CLEAR,626,BRANDON,1341 OAKFIELD DR,,493-7813,FL,33511,,2/15/18,BRANDON,1341 OAKFIELD DR,FL,33511,,N,Massage Establishment,MM,2/15/18,"1341 OAKFIELD DR, BRANDON, FL 33511",Florida,Hillsborough County,United States,"1341 Oakfield Dr, Brandon, FL 33511, USA",27.9331125,Brandon,-82.3046968,OK,,33511,,Oakfield Drive,1341,,27.93311:-82.30470,27.93311:-82.30470#,massage,39346,0,0
N,Mass Luxury St Pete LLC,39,HILLSBOROUGH,gita0901@gmail.com,8/31/19,,38119,CLEAR,727,TAMPA,4813 Culbreath Isles Way,,667-6847,FL,33629,,6/4/18,TAMPA,1706 S Dale Mabry Hwy,FL,33629,,N,Massage Establishment,MM,6/4/18,"1706 S Dale Mabry Hwy, TAMPA, FL 33629",Florida,Hillsborough County,United States,"1706 S Dale Mabry Hwy, Tampa, FL 33629, USA",27.9283119,Tampa,-82.50537,OK,South Tampa,33629,5813,South Dale Mabry Highway,1706,,27.92831:-82.50537,27.92831:-82.50537#,massage,39445,0,0
N,"Sensorric, LLC",62,PINELLAS,randall@sensorric.com,8/31/21,,37626,CLEAR,727,SAINT PETERSBURG,820 19th Ave N,,821-1110,FL,33704,,1/30/18,SAINT PETERSBURG,1105 7th Ave N,FL,33705,,N,Massage Establishment,MM,1/30/18,"1105 7th Ave N, SAINT PETERSBURG, FL 33705",Florida,Pinellas County,United States,"1105 7th Ave N, St. Petersburg, FL 33705, USA",27.7795156,St. Petersburg,-82.6502153,OK,Historic Uptown,33705,,7th Avenue North,1105,,27.77952:-82.65022,27.77952:-82.65022#,massage,39263,0,0
N,JF Massage LLC,60,PALM BEACH,jfmassage10064@gmail.com,8/31/19,,37828,CLEAR,561,JUPITER,10064 W Indiantown Rd,,745-2662,FL,33478,,3/20/18,JUPITER,10064 W Indiantown Rd,FL,33478,,N,Massage Establishment,MM,3/20/18,"10064 W Indiantown Rd, JUPITER, FL 33478",Florida,Palm Beach County,United States,"10064 W Indiantown Rd, Jupiter, FL 33478, USA",26.9417437,Jupiter,-80.1936109,OK,,33478,4732,West Indiantown Road,10064,,26.94174:-80.19361,26.94174:-80.19361#,massage,39186,0,0
N,"BENESSERE, LLC",23,MIAMI-DADE,revoip@gmail.com,8/31/19,,30128,CLEAR,305,DORAL,"8726 NW 26 ST, #12",,599-0770,FL,33172,,12/3/12,DORAL,"8726 NW 26 ST, #12",FL,33172,,N,Massage Establishment,MM,12/3/12,"8726 NW 26 ST, #12, DORAL, FL 33172",Florida,Miami-Dade County,United States,"8726 NW 26th St #12, Doral, FL 33172, USA",25.7976902,Doral,-80.3388045,OK,,33172,,Northwest 26th Street,8726,12,25.79769:-80.33880,25.79769:-80.33880#12,massage,29989,0,0
N,ANTIDOTE APOTHECARY AND SPA,69,SEMINOLE,julia@antidoteapothecaryandspa.com,8/31/19,,34970,CLEAR,407,SANFORD,2001 S. MAGNOLIA AVE,,461-5635,FL,32771,,3/14/16,SANFORD,111 East 1st Street,FL,32771,,N,Massage Establishment,MM,12/18/17,"111 East 1st Street, SANFORD, FL 32771",Florida,Seminole County,United States,"111 E 1st St, Sanford, FL 32771, USA",28.8114385,Sanford,-81.2674341,OK,,32771,1301,East 1st Street,111,,28.81144:-81.26743,28.81144:-81.26743#,massage,35402,0,0
N,AG OF WESTON CORP,16,BROWARD,adriana@agskincare.com,8/31/19,,37692,CLEAR,754,WESTON,90 INDIAN TRACE ROAD,,234-0966,FL,33326,,2/14/18,WESTON,90 INDIAN TRACE ROAD,FL,33326,,N,Massage Establishment,MM,2/14/18,"90 INDIAN TRACE ROAD, WESTON, FL 33326",Florida,Broward County,United States,"90 Indian Trace, Weston, FL 33326, USA",26.1331525,Weston,-80.4005661,OK,,33326,,Indian Trace,90,,26.13315:-80.40057,26.13315:-80.40057#,massage,39338,0,0
N,"LOTUS BLOOM SPA, LLC",23,MIAMI-DADE,lotusbloomspa@gmail.com,8/31/19,,31566,CLEAR,305,MIAMI,1717 1717 N BAYSHORE DR.,,467-4144,FL,33132,SUITE 206,10/21/13,MIAMI,1717 N BAYSHORE DR.,FL,33132,SUITE 206,N,Massage Establishment,MM,1/3/18,"1717 N BAYSHORE DR., MIAMI, FL 33132",Florida,Miami-Dade County,United States,"The Grand Doubletree, 1717 N Bayshore Dr, Miami, FL 33132, USA",25.791316,Miami,-80.1861552,OK,Downtown Miami,33132,3305,North Bayshore Drive,1717,,25.79132:-80.18616,25.79132:-80.18616#,massage,31587,0,0
N,Branwen LLC,56,OKALOOSA,ereilly@handandstone.com,8/31/19,,37985,CLEAR,732,DESTIN,4430 Stonebridge Rd,,740-6390,FL,32541,,4/27/18,PANAMA CITY BCH,Unit 800 15600 Panama City Bch Pkwy,FL,32413,,N,Massage Establishment,MM,4/27/18,"Unit 800 15600 Panama City Bch Pkwy, PANAMA CITY BCH, FL 32413",Florida,Bay County,United States,"15600 Panama City Beach Pkwy #800, Panama City Beach, FL 32413, USA",30.2233819,Panama City Beach,-85.8669348,OK,,32413,,Panama City Beach Parkway,15600,800,30.22338:-85.86693,30.22338:-85.86693#800,massage,39250,0,0
N,Asian Pro Massage,68,SARASOTA,xidalady@gmail.com,8/31/19,,37950,CLEAR,941,ENGLEWOOD,1720 South McCall Rd,,376-2252,FL,34223,Unit M,4/20/18,ENGLEWOOD,1720 South McCall Rd,FL,34223,Unit M,N,Massage Establishment,MM,4/20/18,"1720 South McCall Rd, ENGLEWOOD, FL 34223",Florida,Charlotte County,United States,"1720 S McCall Rd, Englewood, FL 34223, USA",26.9390867,Englewood,-82.3390429,OK,,34223,,South McCall Road,1720,,26.93909:-82.33904,26.93909:-82.33904#,massage,39342,0,0
N,WestChase Physical Therapy,39,HILLSBOROUGH,westchasephysicaltherapy@gmail.com,8/31/19,,37820,CLEAR,813,TAMPA,12705 Race Track Road,,343-3960,FL,33626,,3/19/18,TAMPA,12705 Race Track Road,FL,33626,,N,Massage Establishment,MM,3/19/18,"12705 Race Track Road, TAMPA, FL 33626",Florida,Hillsborough County,United States,"12705 Race Track Rd, Tampa, FL 33626, USA",28.0668684,Tampa,-82.6350213,OK,,33626,,Race Track Road,12705,,28.06687:-82.63502,28.06687:-82.63502#,massage,39405,0,0
N,Angela Stephens,65,ST.JOHNS,angelastephens139@yahoo.com,8/31/19,,37707,CLEAR,904,ST AUGUSTINE,105 Nunna Rock Trail,6786,226-6786,FL,32092,,2/20/18,ORANGE PARK,328 Milwaukee Avenue,FL,32073,,N,Massage Establishment,MM,2/20/18,"328 Milwaukee Avenue, ORANGE PARK, FL 32073",Florida,Clay County,United States,"328 Milwaukee Ave, Orange Park, FL 32073, USA",30.1624608,Orange Park,-81.7016986,OK,,32073,5536,Milwaukee Avenue,328,,30.16246:-81.70170,30.16246:-81.70170#,massage,39341,0,0
