Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
"A BETTER VIEW MASSAGE THERAPY, PLLC",603 204 313,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"17090 AVONDALE WAY NE, REDMOND, WA, 98052-4409, UNITED STATES",UNITED STATES CORPORATION AGENTS INC,Administratively Dissolved
"A BETTER WAY MASSAGE, LLC.",602 815 698,WA LIMITED LIABILITY COMPANY,"12 BELLWETHER WAY STE 201, BELLINGHAM, WA, 98225-2914, UNITED STATES",SHANNON FREEMAN,Active
"A FINER TOUCH MASSAGE THERAPY, LLC",602 891 574,WA LIMITED LIABILITY COMPANY,"8901 E TRENT AVE #107, SPOKANE, WA, 99212, UNITED STATES",ROBIN MUCHMORE,Inactive
"A GIFT OF HEALING; MASSAGE THERAPY, PLLC",603 053 666,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"12904 109 AVENUE COURT EAST, PUYALLUP, WA, 98374, UNITED STATES",KIMBERLY MOWERY-REAMS,Administratively Dissolved
"A HEALING TOUCH MASSAGE CLINIC, PS",602 072 683,WA PROFESSIONAL SERVICE CORPORATION,"15311 NE 7TH PL, BELLEVUE, WA, 98007, UNITED STATES",LANITA A LANDRU,Active
A HELPING HAND MASSAGE THERAPY INC. P.S.,602 650 879,WA PROFESSIONAL SERVICE CORPORATION,"7808 PACIFIC AVE STE 7, TACOMA, WA, 98408-7039, UNITED STATES",TERESA G HALL,Delinquent
"A I MASSAGE, INC",603 154 257,WA PROFIT CORPORATION,"18119 E VALLEY HWY, KENT, WA, 98032, UNITED STATES",CONNIE BEI,Administratively Dissolved
A JOYFUL TOUCH MASSAGE LLC,603 596 603,WA LIMITED LIABILITY COMPANY,"3111 O ST, VANCOUVER, WA, 98663, UNITED STATES",JASON BATEY,Active
A MASSAGE & AROMA THERAPY INC,604 139 385,,,,
A MASSAGE BY DESIGN INC.,602 834 518,WA PROFIT CORPORATION,"1217 S. 259TH PL., DES MOINES, WA, 98198, UNITED STATES",VONDA  PRIOLEAU,Administratively Dissolved
A MASSAGE BY THE SEA LLC,604 511 066,WA LIMITED LIABILITY COMPANY,"170 S LINCOLN ST STE 100, SPOKANE, WA, 99201-4443, UNITED STATES","WASHINGTON REGISTERED AGENT, LLC.",Active
A MASSAGE FOR YOU LLC,603 367 860,WA LIMITED LIABILITY COMPANY,"12 109TH PL SE, EVERETT, WA, 98208, UNITED STATES",UNITED STATES CORPORATION AGENTS INC,Administratively Dissolved
A MASSAGE PRO INCORPORATED,602 414 609,WA PROFIT CORPORATION,"1810 NE 104TH ST #E-07, VANCOUVER, WA, 98686, UNITED STATES",TAMI ANDERSON,Inactive
A NEW LEAF MASSAGE LLC,603 235 032,WA LIMITED LIABILITY COMPANY,"4631 WHITMAN LN SE, LACEY, WA, 98513, UNITED STATES",SYDNEY ROTHFELS,Administratively Dissolved
"A PUGET SOUND MASSAGE CLINIC, LLC",603 213 919,WA LIMITED LIABILITY COMPANY,,PAULASNOW,Administratively Dissolved
"A SACRED SPACE THERAPEUTIC MASSAGE SERVICES, LLC",604 011 249,WA LIMITED LIABILITY COMPANY,"7609 278TH PL NW, STANWOOD, WA, 98292-4722, UNITED STATES",KAREN KOTSOVOS-MONROE,Active
"A SOUND MASSAGE & SPA, LLC",603 014 843,WA LIMITED LIABILITY COMPANY,"1501 PIPERBERRY WAY SE #102, PORT ORCHARD, WA, 98366, UNITED STATES",LINDA PRESTON,Inactive
A SPIRIT OF MASSAGE LLC,603 444 928,WA LIMITED LIABILITY COMPANY,"607 SE EVERETT MALL WAY, 10-7, EVERETT, WA, 98208-3209, UNITED STATES",KIM LEUFROY,Active
"A TOUCH OF HEALTH MASSAGE THERAPY, INC.",602 572 965,WA PROFIT CORPORATION,"145 LILLY RD NE STE 102, OLYMPIA, WA, 98506, UNITED STATES",JOLENE R RUSSELL,Active
A TOUCH OF MASSAGE LLC,603 083 099,WA LIMITED LIABILITY COMPANY,"5219 W CLEARWATER AVE STE 7D, KENNEWICK, WA, 99336-1914, UNITED STATES",TONIA  DAMEROW-MILTON,Active
A WELL KNEADED MASSAGE LLC,603 290 450,WA LIMITED LIABILITY COMPANY,"12104 212TH AVE E, BONNEY LAKE WA, BONNEY LAKE, WA, 98391-7473, UNITED STATES",DEANNA PUTTS,Active
A-1 MASSAGE LLC,603 513 467,WA LIMITED LIABILITY COMPANY,"3403 STEAMBOAT ISLAND RD NW # 5, OLYMPIA, WA, 98502-4876, UNITED STATES",NORMAN WILLIAMS,Active
A-MEI-ZING MASSAGE LLC,604 470 956,WA LIMITED LIABILITY COMPANY,"8221 NE HAZEL DELL AVE STE 103, VANCOUVER, WA, 98665-8153, UNITED STATES",JESTYNE MCCAULEY,Active
A.R&R MOUNTAIN MASSAGE LLC,602 628 484,WA LIMITED LIABILITY COMPANY,"8490 MUKILTEO SPEEDWAY, EVERETT, WA, 98206, UNITED STATES","COLLETTE ""MICHELLE"" WILSON",Inactive
A2 THERAPEUTIC MASSAGE LLC,604 074 297,WA LIMITED LIABILITY COMPANY,"2403 S MANITO  BLVD, SPOKANE, WA, 99203, UNITED STATES",ALISON ALDRED,Active
AA MASSAGE LLC,603 090 012,WA LIMITED LIABILITY COMPANY,"14815 CHAIN LAKE RD, STE J, MONROE, WA, 98272, UNITED STATES",ANDREA ABBOTT,Administratively Dissolved
"ABEONA MASSAGE & ASSOCIATES, LLC",602 390 400,WA LIMITED LIABILITY COMPANY,"13903 E SPRAGUE AVE #7, SPOKANE, WA, 99216, UNITED STATES",DOREEN L HARDIN,Inactive
"ABSOLUTE RELAXATION THERAPEUTIC MASSAGE, PLLC",603 166 346,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1800 COOPER POINT RD SW BLDG 2, OLYMPIA, WA, 98502-1178, UNITED STATES",RICHEL R. AKERS,Active
"ABSOLUTELY MASSAGE, INC.",602 174 745,WA PROFIT CORPORATION,,ANDREA BOLLEMAN,Inactive
"ABUNDANT LIFE MASSAGE, PLLC",602 839 930,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"9419 N NEWPORT HWY, SPOKANE, WA, 99218, UNITED STATES",DAVID J CARLSON,Administratively Dissolved
"ABUNDANT-HEALING MASSAGE, INC.",602 673 112,WA PROFIT CORPORATION,"11540 NE 32ND ST, VANCOUVER, WA, 98682, UNITED STATES",JOSEPH REEF,Administratively Dissolved
"ACCIDENT CARE CHIROPRACTIC AND MASSAGE OF HAZEL DELL, PC",604 279 178,WA PROFESSIONAL SERVICE CORPORATION,"1307 NE 78TH ST, VANCOUVER, WA, 98665-9672, UNITED STATES",ACCIDENT CARE CHIROPRACTIC OF HAZEL DELL,Administratively Dissolved
ACCIDENT CARE CHIROPRACTIC AND MASSAGE PC,603 296 206,WA PROFESSIONAL SERVICE CORPORATION,"5904 NE FOURTH PLAIN BLVD, SUITE 101, VANCOUVER, WA, 98661, UNITED STATES",ALEXIS LEE,Active
ACCIDENT CARE CHIROPRACTIC AND MASSAGE VANCOUVER 2.0 LLC,604 276 734,WA LIMITED LIABILITY COMPANY,"1307 NE 78TH ST # B-13, VANCOUVER, WA, 98665-9672, UNITED STATES",ALEXIS LEE,Administratively Dissolved
"ACCOLADES MASSAGE THERAPY, PSC",602 211 269,WA PROFESSIONAL SERVICE CORPORATION,"5505 238TH ST SW, MOUNTLAKE TERRACE, WA, 98043, UNITED STATES",SHANNON REMBOLD,Inactive
ACHIEVE ABUNDANT HOMEOSTASIS (AAH) MASSAGE THERAPY LLC,603 518 475,WA LIMITED LIABILITY COMPANY,"312 YAUGER WAY NW UNIT 104, OLYMPIA, WA, 98502-2649, UNITED STATES",JOSE LUIS DIAZ,Active
ACTIVELIFE MASSAGE THERAPY INC,603 468 624,WA PROFIT CORPORATION,"702 KENTUCKY ST, BELLINGHAM, WA, 98225-4200, UNITED STATES",JULIE BUCKINGHAM,Active
"ACU MASSAGE SPA, LLC",604 055 308,WA LIMITED LIABILITY COMPANY,"5009 W CLEARWATER AVE #D, KENNEWICK, WA, 99336, UNITED STATES",CHUNLING PAN,Active
"ACUPUNCTURE HERB & MASSAGE CLINIC, INC.",601 185 216,WA PROFIT CORPORATION,"14251 AMBAUM BLVD SW STE F, BURIEN, WA, 98166-1421, UNITED STATES",KUN WON JI,Active
"ADAMSON MASSAGE THERAPY, LLC",603 585 418,WA LIMITED LIABILITY COMPANY,"4631 WHITMAN LN SE, LACEY, WA, 98513-2234, UNITED STATES",NICOLE ADAMSON,Active
"ADEPT THERAPEUTIC MASSAGE, LLC",603 022 231,WA LIMITED LIABILITY COMPANY,"636 NW 79TH ST, SEATTLE, WA, 98117-4050, UNITED STATES",EMILY TSOURMAS,Active
"ADOBE MASSAGE, LLC",603 409 754,WA LIMITED LIABILITY COMPANY,"2350 CAIN RD SE, APT 15, OLYMPIA, WA, 98501, UNITED STATES",JAMIE MURPHY,Administratively Dissolved
"ADVANCED ACUPRESSURE, MASSAGE, & BODYWORK L.L.C.",603 285 798,WA LIMITED LIABILITY COMPANY,,KELLY CHAPPELLE,Administratively Dissolved
"ADVANCED HEALTH CHIROPRACTIC AND MASSAGE, INC.",603 042 638,WA PROFIT CORPORATION,"10709 N DIVISION, SPOKANE, WA, 99218, UNITED STATES",DAVIDROBINSON,Administratively Dissolved
ADVANCED MASSAGE LLC,602 218 957,WA LIMITED LIABILITY COMPANY,"15513 AMBAUM BLVD SW # 102, BURIEN, WA, 98166-2424, UNITED STATES",MEMBER,Active
"ADVANCED MUSCULAR THERAPIES, PLLC",604 166 241,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"125 SW 112TH ST UNIT 412, SEATTLE, WA, 98146-5104, UNITED STATES",CARRIE ACKERMAN,Delinquent
"ADVANCED THERAPEUTIC MASSAGE CENTER, INC.",602 384 261,WA PROFIT CORPORATION,"210 E MCLOUGHLIN BLVD, VANCOUVER, WA, 98663, UNITED STATES",JOHN C BAUMAN,Active
ADVANCED THERAPEUTIC MASSAGE L.L.C.,603 062 898,WA LIMITED LIABILITY COMPANY,"W 110 CRAWFORD, DEER PARK, WA, 99006, UNITED STATES",MICHELLE PROCTOR,Inactive
ADVANCED THERAPEUTIC MASSAGE OF WASHINGTON P.L.L.C.,602 841 579,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1125 12TH AVE NW, C/O CZ, # B-5, ISSAQUAH, WA, 98027-8966, UNITED STATES",PATRICIA BAIRD,Active
"ADVANCED THERAPEUTIC MASSAGE, LLC",603 368 787,WA LIMITED LIABILITY COMPANY,,KARLA GILBERTSON,Administratively Dissolved
"ADVANTAGE CHIROPRACTIC & MASSAGE, PS",602 166 903,WA PROFIT CORPORATION,"1312 VANDERCOOK WAY, LONGVIEW, WA, 98632-3902, UNITED STATES",DR ANIK ST-MARTIN,Active
"ADVANTAGE MASSAGE THERAPY, L.L.C.",602 293 084,WA LIMITED LIABILITY COMPANY,"15406 135TH PL NE, WOODINVILLE, WA, 98072-5512, UNITED STATES",BRENDA HAWLEY,Administratively Dissolved
"AGAPE HEALING MASSAGE, LLC",602 583 713,WA LIMITED LIABILITY COMPANY,"1736 OLYMPIA AVE SE, RENTON, WA, 98058, UNITED STATES",THERESA MOON,Inactive
"AGAPE MASSAGE & TREATMENT CENTER, PLLC",602 851 290,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"319 W HASTINGS RD STE A103, SPOKANE, WA, 99218-5013, UNITED STATES",BOBBI LEE  TOMPKINS,Active
"AGAPE MASSAGE, LLC",602 549 979,WA LIMITED LIABILITY COMPANY,"12611 NE 99TH ST APT E28, VANCOUVER, WA, 98682, UNITED STATES",ELISABETH BRAIDWOOD,Inactive
"AGAPE THERAPEUTIC MASSAGE & BODYWORKS, INC.",601 852 910,WA PROFIT CORPORATION,"10032 19TH PL W, EVERETT, WA, 98204-3632, UNITED STATES",JETTIE ARLENE WEEDEN-ISHMAN,Active
AGILITY MASSAGE LLC,604 186 672,WA LIMITED LIABILITY COMPANY,"227 W RIVERSIDE AVE STE A, SPOKANE, WA, 99201-0174, UNITED STATES",SHAWNA JONES,Active
AHH MASSAGES INC.,602 561 391,WA PROFIT CORPORATION,"25236 106TH AVE SW #302, KENT, WA, 98030, UNITED STATES",DONALD CHIN,Inactive
ALCARAZ THERAPEUTIC MASSAGE LLC,604 342 481,WA LIMITED LIABILITY COMPANY,"11524 15TH AVE NE STE D, SEATTLE, WA, 98125-6357, UNITED STATES",MARIA FOSTER,Active
"ALCHEMY MASSAGE ""LLC""",602 384 692,WA LIMITED LIABILITY COMPANY,"14911 E LAUREL RD, ELK, WA, 99009-9641, UNITED STATES",JULIE MCELFISH,Active
ALEXANDER ANDERSON MASSAGE THERAPY LLC,603 566 277,WA LIMITED LIABILITY COMPANY,"2330 MOTTMAN RD SW, OLYMPIA, WA, 98512, UNITED STATES",ALEXANDER ANDERSON,Administratively Dissolved
ALIVE AND WELL MASSAGE CLINIC INC.,602 933 502,WA PROFIT CORPORATION,"109 BINGHAMPTON SW, RAINIER, WA, 98576, UNITED STATES",BRENDA SURERUS,Active
ALKI VIEW MASSAGE AND WELLNESS CENTER LLC,602 771 427,WA LIMITED LIABILITY COMPANY,"5963 SW CARROLL ST, SEATTLE, WA, 98116, UNITED STATES",MICHELLE DESHAYES,Inactive
ALL ANIMAL MASSAGE PLLC,604 369 274,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"4954 PEAR POINT RD, FRIDAY HARBOR, WA, 98250-6037, UNITED STATES",JULIE DUKE,Active
"ALL CITY OFFICE MASSAGE, L.L.C.",601 939 745,WA LIMITED LIABILITY COMPANY,,JESSICA CHESNEY,Administratively Dissolved
ALL CREATURES ANIMAL MASSAGE LLC,604 122 400,WA LIMITED LIABILITY COMPANY,"288 HEWITT RD, CHEHALIS, WA, 98532-8662, UNITED STATES",VON MARTIN,Active
ALL FOR HEALTH MASSAGE PLLC,604 388 756,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1408 SHOREVIEW DR N APT JL11, LONG BEACH, WA, 98631-3901, UNITED STATES",STACIE HABERMANN,Active
ALL FOR YOU MASSAGE INC,604 332 467,WA PROFIT CORPORATION,"109 SE 101ST AVE, VANCOUVER, WA, 98664-3907, UNITED STATES",MELISSA SCHRAM,Active
"ALL PAWS MASSAGE AND REHABILITATION, LLC",604 182 479,WA LIMITED LIABILITY COMPANY,"14601 106TH AVENUE CT E, PUYALLUP, WA, 98374-4906, UNITED STATES",VICKI HAGER,Active
ALL YOUR KNEADS MASSAGE THERAPY INC,603 200 320,WA PROFIT CORPORATION,"811 NE 112TH AVE, VANCOUVER, VANCOUVER, WA, 98684-5115, UNITED STATES",PRESIDENT,Administratively Dissolved
"ALLEVIATION MASSAGE THERAPY, INC.",602 169 377,WA PROFIT CORPORATION,,JULIE A ALLEY,Inactive
ALLIANCE MASSAGE LLC,602 726 404,WA LIMITED LIABILITY COMPANY,"670 NW GILMAN BLVD C1, ISSAQUAH, WA, 98027, UNITED STATES",AMY FRANK LEWALLEN,Voluntarily Dissolved
ALLISON'S THERAPEUTIC MASSAGE & BODYWORK LLC,603 319 512,WA LIMITED LIABILITY COMPANY,,CHARLES MCCRACKEN,Administratively Dissolved
ALOHA SKIN CARE AND MASSAGE LLC,602 658 392,WA PROFIT CORPORATION,"5720 RUDDELL RD SE # E, LACEY, WA, 98503, UNITED STATES",FRANCES O TOOLE,Inactive
"ALOHA THERAPEUTIC MASSAGE, LLC",603 047 120,WA LIMITED LIABILITY COMPANY,"4876 SWENSON RD, DEER PARK, WA, 99006, UNITED STATES",MARTHA HANEY,Administratively Dissolved
ALPINE ANATRIPSIS MASSAGE THERAPY LLC,603 248 604,WA LIMITED LIABILITY COMPANY,"580 CRAWFORD AVE, WENATCHEE, WA, 98801, UNITED STATES",CLARISSA WHITEHALL CHRISMER,Administratively Dissolved
ALPINE CLINICAL MASSAGE LLC,604 504 981,WA LIMITED LIABILITY COMPANY,"925 NEWELL ST, BELLINGHAM, WA, 98225-5724, UNITED STATES",KAYLA HACKMAN,Active
"ALPINE THAI MASSAGE AND BODYWORK, PLLC",603 612 397,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"3737 1/2 YAKSUM CYN, CASHMERE, WA, 98815, UNITED STATES",JOHANNA LEHMKE,Administratively Dissolved
ALWAYS HEALING HANDS MASSAGE INC.,603 089 088,WA PROFIT CORPORATION,"303 VERA ST., MOUNT VERNON, WA, 98273, UNITED STATES",MARY PAPINI,Administratively Dissolved
AMANI MASSAGE LLC,603 258 530,WA LIMITED LIABILITY COMPANY,"410 MAIN ST, IONE, WA, 99139, UNITED STATES",SARAH WOOD,Active
"AMBIANCE MASSAGE & SPA, LTD.",602 912 579,WA PROFIT CORPORATION,"315 W MARCY AVE, MONTESANO, WA, 98563-3618, UNITED STATES","AMBIANCE MASSAGE & SPA, LTD",Active
"AMERICAN INSTITUTE OF CLINICAL MASSAGE, LIMITED",602 028 647,FOREIGN PROFIT CORPORATION,,C T CORPORATION SYSTEM,Terminated
AMERICAN MASSAGE THERAPY ASSOCIATION,601 438 858,FOREIGN NONPROFIT CORPORATION,"500 DAVIS STREET, SUITE 900, EVANSTON, IL, 60201, UNITED STATES",C T CORPORATION SYSTEM,Active
"AMERICAN-ASIAN THERAPEUTIC MASSAGE CLINIC, LLC",602 848 941,WA LIMITED LIABILITY COMPANY,"9013 NE HWY 99 #D, VANCOUVER, WA, 98665, UNITED STATES",WIPHAWADEE HONGSRIJAN,Voluntarily Dissolved
AMS MASSAGE L.L.C.,603 470 138,WA LIMITED LIABILITY COMPANY,"10126 NE 62ND ST, KIRKLAND, WA, 98033, UNITED STATES",ANDREA SNETSINGER,Active
ANA MASSAGE THERAPY SERVICE LLC,604 400 885,WA LIMITED LIABILITY COMPANY,"321 N COLUMBIA DRIVE SUTE E, KENNEWICK, WA, 99336, UNITED STATES",HONGYAN YU,Active
"ANA'S THERAPEUTIC MASSAGE, LLC",604 151 140,WA LIMITED LIABILITY COMPANY,"143 PARK LN, KIRKLAND, WA, 98033-6172, UNITED STATES",ANAMARIA ACS,Active
ANCHORED MASSAGE THERAPY LLC,603 588 808,WA LIMITED LIABILITY COMPANY,"5929 WESTGATE BLVD STE C, TACOMA, WA, 98406-2567, UNITED STATES",RACHEL REESE,Active
"ANCIENT ARTS MASSAGE COLLEGE AT EDEN, LLC",603 145 431,WA LIMITED LIABILITY COMPANY,"SUITE 202, EDEN MEDICAL CENTER, 1446 SPAULDING AVE, RICHLAND, WA, 99352, UNITED STATES",KISHORE VARADA,Administratively Dissolved
ANDERSON THERAPEUTIC MASSAGE P.S.,601 949 947,WA PROFESSIONAL SERVICE CORPORATION,,ROSEMARY STERNBECK,Administratively Dissolved
ANEW YOU MASSAGE THERAPY PLLC,603 265 043,WA LIMITED LIABILITY COMPANY,"319 S 11TH AVE, YAKIMA, WA, 98902-3213, UNITED STATES",WENA DOVE,Active
ANGEL CARE ANIMAL MASSAGE LLC,603 492 467,WA LIMITED LIABILITY COMPANY,"4933 128TH PL S.E., EVERETT, WA, 98208, UNITED STATES",KAREN PARNALL,Administratively Dissolved
ANGEL MASSAGE LLC,603 273 874,WA LIMITED LIABILITY COMPANY,"12300 28TH AVE NE#111, SEATTLE, WA, 98125, UNITED STATES",QING ZHANG,Administratively Dissolved
ANGEL MASSAGE THERAPHY LLC,603 381 963,WA LIMITED LIABILITY COMPANY,"27025 14TH AVE S, DES MOINES, WA, 98198, UNITED STATES",MAUREEN KUMARI,Administratively Dissolved
"ANGEL TOUCH MASSAGE & REFLEXOLOGY, INC.",602 278 484,WA PROFIT CORPORATION,"14090 FRYELANDS BLVD SE, MONROE, WA, 98272-2693, UNITED STATES",SONDRA DESCHELL,Active
ANGEL TOUCH MASSAGE PLLC,603 322 230,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"15600 NE 8TH STE B1 #313, BELLEVUE, WA, 98008, UNITED STATES",UNITED STATES CORPORATION AGENTS INC,Administratively Dissolved
ANGELIC MASSAGE INC,602 705 164,WA PROFIT CORPORATION,"1209 E MEAD ST, SPOKANE, WA, 99218, UNITED STATES",DAVID MILLER,Inactive
ANGELIC TOUCH MASSAGE LLC,604 485 044,WA LIMITED LIABILITY COMPANY,"121 N 9TH AVE, RIDGEFIELD, WA, 98642-5429, UNITED STATES",ANGELA MARTIN,Active
ANGELS' TOUCH MASSAGE CLINIC L.L.C.,602 102 813,WA LIMITED LIABILITY COMPANY,,M EDWARD MONCIVAIZ,Inactive
ANIMADO MASSAGE LLC,604 254 876,WA LIMITED LIABILITY COMPANY,"220 ANTLES AVE, UNIT 105, WENATCHEE, WA, 98801-3789, UNITED STATES",OMAR TELLEZ,Voluntarily Dissolved
"ANNA JEAN'S PEACE OF PARADISE MASSAGE, LLC",603 596 507,WA LIMITED LIABILITY COMPANY,"2510 N HAVEN ST, SPOKANE, WA, 99207, UNITED STATES",ANNA DOUGHTY,Administratively Dissolved
ANNELIESE FERRERI MASSAGE LIMITED LIABILITY COMPANY,604 285 841,WA LIMITED LIABILITY COMPANY,"1409 220TH ST SW, BOTHELL, WA, 98021-9400, UNITED STATES",REGISTERED AGENTS INC.,Active
ANODYNE MASSAGE THERAPY INC,603 397 142,WA PROFIT CORPORATION,,AMALIAMORSI,Administratively Dissolved
"ANTHONY'S THERAPEUTIC MASSAGE, INC.",602 639 068,WA PROFIT CORPORATION,"800 BELLEVUE WAY NE STE 200, BELLEVUE, WA, 98004, UNITED STATES",ANTHONY PAUL BASTIAN,Inactive
ANYWHERE MASSAGE LLC,602 603 693,WA LIMITED LIABILITY COMPANY,"4545 34TH AVE S, SEATTLE, WA, 98118, UNITED STATES",CHRISANN  RAUSCHENBACH,Inactive
"AQUA DAY SPA AND MASSAGE, L.L.C.",604 425 332,WA LIMITED LIABILITY COMPANY,"116 ALKI DR, FOX ISLAND, WA, 98333, UNITED STATES",FELICITY HOLSTINE,Active
AQUA MASSAGE LLC,602 874 599,WA LIMITED LIABILITY COMPANY,"1420 SW 323RD ST, FEDERAL WAY, WA, 98023-5535, UNITED STATES",AQUA MASSAGE LLC,Active
"AQUA VITAE MASSAGE & SPA THERAPIES, PLLC",603 349 546,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"PO BOX 972, DUVALL, WA, 98019, UNITED STATES",AQUA VITAE MASSAGE & SPA THERAPIES,Administratively Dissolved
"AQUARIAN MASSAGE + BODYWORK, LLC",603 022 950,WA LIMITED LIABILITY COMPANY,"1123 EAST JOHN STREET, #6, SEATTLE, WA, 98102, UNITED STATES",STEPHANIE TROTTER,Inactive
"ARABELLAS DAY SPA AND BOUTIQUE, L.L.C DOING BUSINESS AS SERENITY SPA AND MASSAGE, L.L.C.",603 291 814,WA LIMITED LIABILITY COMPANY,"1727 E. FRANCIS STE 2, SPOKANE, WA, 99208, UNITED STATES",HEATHER SWEENEY,Administratively Dissolved
ARCHER MASSAGE THERAPY LLC,602 935 296,WA LIMITED LIABILITY COMPANY,"4412 PACIFIC AVE SE #205, LACEY, WA, 98503, UNITED STATES",ELIZABETH ARCHER,Inactive
"ARLINGTON MASSAGE THERAPY AND WELLNESS, PLLC",602 823 992,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"18725 SMOKEY POINT BLVD, ARLINGTON, WA, 98223-8713, UNITED STATES",GAIL ALLEN,Active
"ARLINGTON SCHOOL OF MASSAGE, LLC",604 165 174,WA LIMITED LIABILITY COMPANY,"303 N OLYMPIC AVE, ARLINGTON, WA, 98223-1338, UNITED STATES",SHAWNNA FAILLA,Delinquent
ARN'S THERAPEUTIC MASSAGE LLC,602 955 851,WA LIMITED LIABILITY COMPANY,"5514 NE 107TH AVE STE 100, VANCOUVER, WA, 98662-6346, UNITED STATES",GLEN RUSSELL ARN,Delinquent
AROMA FOOT MASSAGE LLC,603 622 355,WA LIMITED LIABILITY COMPANY,"13215 SE MILL PLAIN BLVD STE C6, VANCOUVER, WA, 98684-6991, UNITED STATES",ZHE WANG,Active
"AROS MASSAGE, P.C.",602 591 204,WA PROFESSIONAL SERVICE CORPORATION,"13040 SE 46TH ST, BELLEVUE, WA, 98006, UNITED STATES",MARIOLA T KLEIN,Active
"ARROW MASSAGE AND WELLNESS, P.L.L.C.",603 289 666,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"2026 LASSO DR, WENATCHEE, WA, 98801-8994, UNITED STATES",KYRA LYNN DAVIS,Active
"ART OF MASSAGE, LLC",603 603 620,WA LIMITED LIABILITY COMPANY,"214 WASHINGTON AVE S, ORTING, WA, 98360, UNITED STATES",JENNIFER PETERSON,Administratively Dissolved
"ART, INVENTION, RESEARCH AND DEVELOPMENT INC. ( AIRD INC )",601 799 002,WA PROFIT CORPORATION,"6603 88 TH ST E, PUYALLUP, WA, 98371-6466, UNITED STATES",CHARLES FITZGERALD,Active
"ARTFUL ART OF MASSAGE, LLC",602 290 050,WA LIMITED LIABILITY COMPANY,"17311 135TH AVE NE #  A-850, WOODINVILLE, WA, 98072, UNITED STATES",LORRI ENWALL,Administratively Dissolved
"ARTFUL HANDS MASSAGE & ALTERNATIVE THERAPY, LLC",602 404 873,WA LIMITED LIABILITY COMPANY,"22 W CENTRAL AVE, SPOKANE, WA, 99205, UNITED STATES",MICHELE L DAVIS,Inactive
ASENTRIA MASSAGE LLC,604 025 386,WA LIMITED LIABILITY COMPANY,"2319 N 45TH ST #206, SEATTLE, WA, 98103, UNITED STATES",JOANNA SCHWARTZKOPF,Administratively Dissolved
ASGARD MASSAGE PLLC,603 331 564,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"3131 SMOKEY POINT DR, 5B, ARLINGTON, WA, 98223-2301, UNITED STATES",STEFFEN EMARD,Delinquent
